|                                                  dimensionalCodeFragment                                                   |   pattern   |
+----------------------------------------------------------------------------------------------------------------------------+-------------+
| org.apache.cassandra.cql3.QueryProcessor.process                                                                           | compute-app |
| org.apache.cassandra.cql3.statements.BatchStatement.execute                                                                | compute-app |
| org.apache.cassandra.cql3.statements.SelectStatement.execute                                                               | compute-app |
| org.apache.cassandra.db.Mutation.apply                                                                                     | compute-app |
| org.apache.cassandra.auth.AuthCache<RoleResource,Set<Role>>.get                                                            | compute-app |
| org.apache.cassandra.auth.AuthenticatedUser.isAnonymous                                                                    | compute-app |
| org.apache.cassandra.auth.AuthenticatedUser.isSuper                                                                        | compute-app |
| org.apache.cassandra.auth.IAuthenticator.requireAuthentication                                                             | compute-app |
| org.apache.cassandra.auth.RoleResource.getRoleName                                                                         | compute-app |
| org.apache.cassandra.auth.Roles.getRoleDetails                                                                             | compute-app |
| org.apache.cassandra.auth.Roles.hasSuperuserStatus                                                                         | compute-app |
| org.apache.cassandra.auth.RolesCache.getRoles                                                                              | compute-app |
| org.apache.cassandra.batchlog.Batch.createLocal                                                                            | compute-app |
| org.apache.cassandra.batchlog.Batch.size                                                                                   | compute-app |
| org.apache.cassandra.batchlog.BatchlogManager.store                                                                        | compute-app |
| org.apache.cassandra.cache.IMeasurableMemory.unsharedHeapSize                                                              | compute-app |
| org.apache.cassandra.concurrent.ExecutorLocals$Impl.set                                                                    | compute-app |
| org.apache.cassandra.concurrent.ExecutorLocals.current                                                                     | compute-app |
| org.apache.cassandra.concurrent.ExecutorPlus.maybeExecuteImmediately                                                       | compute-app |
| org.apache.cassandra.concurrent.ExecutorPlus.submit                                                                        | compute-app |
| org.apache.cassandra.concurrent.SequentialExecutorPlus$AtLeastOnceTrigger.sync                                             | compute-app |
| org.apache.cassandra.concurrent.Stage.execute                                                                              | compute-app |
| org.apache.cassandra.concurrent.Stage.executor                                                                             | compute-app |
| org.apache.cassandra.concurrent.Stage.maybeExecuteImmediately                                                              | compute-app |
| org.apache.cassandra.concurrent.Stage.submit                                                                               | compute-app |
| org.apache.cassandra.config.CassandraRelevantEnv.getString                                                                 | compute-app |
| org.apache.cassandra.config.CassandraRelevantProperties$PropertyConverter<Boolean>.convert                                 | compute-app |
| org.apache.cassandra.config.CassandraRelevantProperties.getBoolean                                                         | compute-app |
| org.apache.cassandra.config.DataRateSpec$DataRateUnit.toBytesPerSecond                                                     | compute-app |
| org.apache.cassandra.config.DataRateSpec.toBytesPerSecond                                                                  | compute-app |
| org.apache.cassandra.config.DataStorageSpec$DataStorageUnit.toBytes                                                        | compute-app |
| org.apache.cassandra.config.DataStorageSpec$DataStorageUnit.toMebibytes                                                    | compute-app |
| org.apache.cassandra.config.DataStorageSpec$IntKibibytesBound.toBytes                                                      | compute-app |
| org.apache.cassandra.config.DataStorageSpec$IntKibibytesBound.toBytesInLong                                                | compute-app |
| org.apache.cassandra.config.DataStorageSpec$IntMebibytesBound.toBytesInLong                                                | compute-app |
| org.apache.cassandra.config.DataStorageSpec$IntMebibytesBound.toMebibytes                                                  | compute-app |
| org.apache.cassandra.config.DataStorageSpec$LongBytesBound.toBytes                                                         | compute-app |
| org.apache.cassandra.config.DataStorageSpec.quantity                                                                       | compute-app |
| org.apache.cassandra.config.DataStorageSpec.unit                                                                           | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.checkForDuplicateRowsDuringCompaction                                       | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.checkForDuplicateRowsDuringReads                                            | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.diagnosticEventsEnabled                                                     | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getAuthenticator                                                            | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getBatchSizeFailThreshold                                                   | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getBatchSizeWarnThreshold                                                   | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getBroadcastAddress                                                         | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getCasContentionTimeout                                                     | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getCompactionThroughputBytesPerSec                                          | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getCoordinatorReadSizeFailThreshold                                         | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getCoordinatorReadSizeWarnThreshold                                         | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getCounterWriteRpcTimeout                                                   | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getDenylistReadsEnabled                                                     | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getDenylistWritesEnabled                                                    | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getDiskFailurePolicy                                                        | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getEndpointSnitch                                                           | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getIdealConsistencyLevel                                                    | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getInitialRangeTombstoneListAllocationSize                                  | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getListenAddress                                                            | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getLocalDataCenter                                                          | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getLocalReadSizeFailThreshold                                               | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getLocalReadSizeWarnThreshold                                               | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getMaxHintWindow                                                            | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getMaxHintsSizePerHost                                                      | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getMinFreeSpacePerDriveInBytes                                              | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getNumTokens                                                                | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getPartitionDenylistEnabled                                                 | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getPartitioner                                                              | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getPaxosPurgeGrace                                                          | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getRangeTombstoneListGrowthFactor                                           | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getRawConfig                                                                | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getReadRpcTimeout                                                           | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getReadThresholdsEnabled                                                    | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getReplaceAddress                                                           | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getSSTablePreemptiveOpenIntervalInMiB                                       | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getSnapshotLinksPerSecond                                                   | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getSnapshotRateLimiter                                                      | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getStoragePort                                                              | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getTombstoneFailureThreshold                                                | compute-app |
| org.apache.cassandra.config.DatabaseDescriptor.getTombstoneWarnThreshold                                                   | compute-app |
