|                                                              dimensionalCodeFragment                                                              |    pattern    |
+---------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| org.apache.cassandra.AbstractSerializationsTester.getInput                                                                                        | compute-cross |
| org.apache.cassandra.AbstractSerializationsTester.getOutput                                                                                       | compute-cross |
| org.apache.cassandra.AbstractSerializationsTester.testSerializedSize                                                                              | compute-cross |
| org.apache.cassandra.CassandraBriefJUnitResultFormatter.endTestSuite                                                                              | compute-cross |
| org.apache.cassandra.CassandraBriefJUnitResultFormatter.formatError                                                                               | compute-cross |
| org.apache.cassandra.CassandraBriefJUnitResultFormatter.formatSkip                                                                                | compute-cross |
| org.apache.cassandra.CassandraBriefJUnitResultFormatter.startTestSuite                                                                            | compute-cross |
| org.apache.cassandra.CassandraIsolatedJunit4ClassRunner$CassandraIsolatedClassLoader.finalize                                                     | compute-cross |
| org.apache.cassandra.CassandraXMLJUnitResultFormatter.endTestSuite                                                                                | compute-cross |
| org.apache.cassandra.JStackJUnitTask$JStackWatchDog.timeoutOccured                                                                                | compute-cross |
| org.apache.cassandra.MethodComparator.getIndexOfMethodPosition                                                                                    | compute-cross |
| org.apache.cassandra.SchemaLoader.cleanupAndLeaveDirs                                                                                             | compute-cross |
| org.apache.cassandra.ServerTestUtils.cleanupAndLeaveDirs                                                                                          | compute-cross |
| org.apache.cassandra.ServerTestUtils.prepareServer                                                                                                | compute-cross |
| org.apache.cassandra.ServerTestUtils.startEmbeddedCassandraService                                                                                | compute-cross |
| org.apache.cassandra.Util.getSnapshots                                                                                                            | compute-cross |
| org.apache.cassandra.Util.setFileLength                                                                                                           | compute-cross |
| org.apache.cassandra.audit.AuditLoggerAuthTest.setup                                                                                              | compute-cross |
| org.apache.cassandra.audit.AuditLoggerCleanupTest.assertLogFileExists                                                                             | compute-cross |
| org.apache.cassandra.audit.AuditLoggerCleanupTest.setup                                                                                           | compute-cross |
| org.apache.cassandra.audit.AuditLoggerCleanupTest.testCleanupOfAuditLogDir                                                                        | compute-cross |
| org.apache.cassandra.audit.AuditLoggerTest.testEnableDisable                                                                                      | compute-cross |
| org.apache.cassandra.auth.CassandraLoginModule.login                                                                                              | compute-cross |
| org.apache.cassandra.auth.jmx.JMXAuthTest.setupJMXServer                                                                                          | compute-cross |
| org.apache.cassandra.batchlog.Batch$Serializer.decodeMutations                                                                                    | compute-cross |
| org.apache.cassandra.batchlog.Batch$Serializer.deserialize                                                                                        | compute-cross |
| org.apache.cassandra.batchlog.Batch$Serializer.readEncodedMutations                                                                               | compute-cross |
| org.apache.cassandra.batchlog.Batch$Serializer.serialize                                                                                          | compute-cross |
| org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch.addMutations                                                                         | compute-cross |
| org.apache.cassandra.batchlog.BatchlogManager.processBatchlogEntries                                                                              | compute-cross |
| org.apache.cassandra.batchlog.BatchlogManager.store                                                                                               | compute-cross |
| org.apache.cassandra.batchlog.BatchlogTest.testSerialization                                                                                      | compute-cross |
| org.apache.cassandra.cache.AutoSavingCache$Writer.saveCache                                                                                       | compute-cross |
| org.apache.cassandra.cache.AutoSavingCache.loadSaved                                                                                              | compute-cross |
| org.apache.cassandra.cache.CounterCacheKey.read                                                                                                   | compute-cross |
| org.apache.cassandra.cache.CounterCacheKey.write                                                                                                  | compute-cross |
| org.apache.cassandra.cache.OHCProvider$KeySerializer.deserialize                                                                                  | compute-cross |
| org.apache.cassandra.cache.OHCProvider$KeySerializer.serialize                                                                                    | compute-cross |
| org.apache.cassandra.cache.OHCProvider$ValueSerializer.deserialize                                                                                | compute-cross |
| org.apache.cassandra.cache.OHCProvider$ValueSerializer.serialize                                                                                  | compute-cross |
| org.apache.cassandra.cache.SerializingCache.deserialize                                                                                           | compute-cross |
| org.apache.cassandra.cache.SerializingCache.serialize                                                                                             | compute-cross |
| org.apache.cassandra.cache.SerializingCacheProvider$RowCacheSerializer.deserialize                                                                | compute-cross |
| org.apache.cassandra.cache.SerializingCacheProvider$RowCacheSerializer.serialize                                                                  | compute-cross |
| org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutorTest.startup                                                                 | compute-cross |
| org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutorTest.testShutdown                                                            | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest$NodeDeserializer.deserialize                                                                  | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest$NodeSerializer.serialize                                                                      | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest.diff                                                                                          | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest.diff_3_0                                                                                      | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest.diff_3_11                                                                                     | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest.diff_4_0                                                                                      | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest.dump                                                                                          | compute-cross |
| org.apache.cassandra.config.ConfigCompatabilityTest.load                                                                                          | compute-cross |
| org.apache.cassandra.config.DatabaseDescriptor.applySslContext                                                                                    | compute-cross |
| org.apache.cassandra.config.FailStartupDuplicateParamsTest.testDuplicateParamThrows                                                               | compute-cross |
| org.apache.cassandra.config.FailStartupDuplicateParamsTest.testReplacementDupesMultiReplace                                                       | compute-cross |
| org.apache.cassandra.config.FailStartupDuplicateParamsTest.testReplacementDupesNewFirst                                                           | compute-cross |
| org.apache.cassandra.config.FailStartupDuplicateParamsTest.testReplacementDupesOldFirst                                                           | compute-cross |
| org.apache.cassandra.config.FailStartupDuplicateParamsTest.testYaml                                                                               | compute-cross |
| org.apache.cassandra.config.YamlConfigurationLoader.getStorageConfigURL                                                                           | compute-cross |
| org.apache.cassandra.config.YamlConfigurationLoader.loadConfig                                                                                    | compute-cross |
| org.apache.cassandra.cql3.BatchTests.setup                                                                                                        | compute-cross |
