|                                                       dimensionalCodeFragment                                                        |   pattern    |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------+
| org.apache.cassandra.Util.compact                                                                                                    | compute-sync |
| org.apache.cassandra.Util.createInitialRing                                                                                          | compute-sync |
| org.apache.cassandra.batchlog.BatchlogManager.replayFailedBatches                                                                    | compute-sync |
| org.apache.cassandra.batchlog.BatchlogManager.setRate                                                                                | compute-sync |
| org.apache.cassandra.batchlog.BatchlogManagerTest.setUp                                                                              | compute-sync |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testReplayWithNoPeers                                                              | compute-sync |
| org.apache.cassandra.cache.InstrumentingCache<KeyCacheKey,RowIndexEntry<>>.getCapacity                                               | compute-sync |
| org.apache.cassandra.cache.InstrumentingCache<KeyCacheKey,RowIndexEntry<>>.weightedSize                                              | compute-sync |
| org.apache.cassandra.cache.InstrumentingCache<RowCacheKey,IRowCacheEntry>.getCapacity                                                | compute-sync |
| org.apache.cassandra.cache.InstrumentingCache<RowCacheKey,IRowCacheEntry>.weightedSize                                               | compute-sync |
| org.apache.cassandra.concurrent.ExecutorLocals.current                                                                               | compute-sync |
| org.apache.cassandra.concurrent.ExecutorPlus.inExecutor                                                                              | compute-sync |
| org.apache.cassandra.concurrent.ResizableThreadPool.getPendingTaskCount                                                              | compute-sync |
| org.apache.cassandra.concurrent.Stage.execute                                                                                        | compute-sync |
| org.apache.cassandra.concurrent.Stage.executor                                                                                       | compute-sync |
| org.apache.cassandra.config.CassandraRelevantEnv.getString                                                                           | compute-sync |
| org.apache.cassandra.config.CassandraRelevantProperties$PropertyConverter<String>.convert                                            | compute-sync |
| org.apache.cassandra.config.CassandraRelevantProperties.getString                                                                    | compute-sync |
| org.apache.cassandra.config.DatabaseDescriptor.diagnosticEventsEnabled                                                               | compute-sync |
| org.apache.cassandra.config.DatabaseDescriptor.getBroadcastAddress                                                                   | compute-sync |
| org.apache.cassandra.config.DatabaseDescriptor.getClusterName                                                                        | compute-sync |
| org.apache.cassandra.config.DatabaseDescriptor.getDiskFailurePolicy                                                                  | compute-sync |
| org.apache.cassandra.config.DatabaseDescriptor.getEndpointSnitch                                                                     | compute-sync |
| org.apache.cassandra.config.DatabaseDescriptor.getKeyCacheKeysToSave                                                                 | compute-sync |
| org.apache.cassandra.config.DatabaseDescriptor.getListenAddress                                                                      | compute-sync |
