|                                                    dimensionalCodeFragment                                                    |      pattern       |
+-------------------------------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.cassandra.SchemaLoader.schemaDefinition                                                                            | unbound-allocation |
| org.apache.cassandra.Util.compactAll                                                                                          | unbound-allocation |
| org.apache.cassandra.Util.getAll                                                                                              | unbound-allocation |
| org.apache.cassandra.Util.getAllUnfiltered                                                                                    | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_ExcludeSetOnly                                                       | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_FilteredInput_EmptyExclude                                           | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_FilteredInput_EmptyInclude                                           | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_IncludeSetOnly                                                       | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_MutualExclusive                                                      | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_MutualInclusive                                                      | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_NullInputs                                                           | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_SpecifiedInput                                                       | unbound-allocation |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_UnSpecifiedInput                                                     | unbound-allocation |
| org.apache.cassandra.audit.AuditLogManager.buildEntriesForBatch                                                               | unbound-allocation |
| org.apache.cassandra.auth.CassandraAuthorizer.buildListQuery                                                                  | unbound-allocation |
| org.apache.cassandra.auth.CassandraAuthorizer.getExistingPermissions                                                          | unbound-allocation |
| org.apache.cassandra.auth.CassandraAuthorizer.listPermissionsForRole                                                          | unbound-allocation |
| org.apache.cassandra.auth.CassandraAuthorizer.revokeAllFrom                                                                   | unbound-allocation |
| org.apache.cassandra.auth.CassandraAuthorizer.revokeAllOn                                                                     | unbound-allocation |
| org.apache.cassandra.auth.CassandraRoleManager.filter                                                                         | unbound-allocation |
| org.apache.cassandra.auth.FunctionResource.argsListFromString                                                                 | unbound-allocation |
| org.apache.cassandra.auth.FunctionResource.functionFromCql                                                                    | unbound-allocation |
| org.apache.cassandra.auth.FunctionResourceTest.testFunctionWithMultipleInputParameter                                         | unbound-allocation |
| org.apache.cassandra.auth.FunctionResourceTest.testFunctionWithSingleInputParameter                                           | unbound-allocation |
| org.apache.cassandra.auth.Resources.chain                                                                                     | unbound-allocation |
| org.apache.cassandra.auth.jmx.AuthorizationProxyTest.objectNames                                                              | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch.sendReplays                                                      | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch.writeHintsForUndeliveredEndpoints                                | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogManager.store                                                                           | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testAddBatch                                                                | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testRemoveBatch                                                             | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testReplay                                                                  | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testReplayWithNoPeers                                                       | unbound-allocation |
| org.apache.cassandra.batchlog.BatchlogTest.testSerialization                                                                  | unbound-allocation |
| org.apache.cassandra.cache.CacheProviderTest.concurrentCase                                                                   | unbound-allocation |
| org.apache.cassandra.concurrent.SEPExecutor.shutdownNow                                                                       | unbound-allocation |
| org.apache.cassandra.config.DatabaseDescriptor.tokensFromString                                                               | unbound-allocation |
| org.apache.cassandra.config.DatabaseDescriptorRefTest.testDatabaseDescriptorRef                                               | unbound-allocation |
| org.apache.cassandra.config.EncryptionOptions$ConfigKey.asSet                                                                 | unbound-allocation |
| org.apache.cassandra.config.Properties.flatten                                                                                | unbound-allocation |
| org.apache.cassandra.config.SnakeYamlLoader$Helper.getPropertiesMap                                                           | unbound-allocation |
