|                                                           fullyQualifiedName                                                            |      pattern       |
+-----------------------------------------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.cassandra.CassandraBriefJUnitResultFormatter.endTestSuite                                                                    | unbound-collection |
| org.apache.cassandra.CassandraBriefJUnitResultFormatter.startTestSuite                                                                  | unbound-collection |
| org.apache.cassandra.ConsoleAppender.setTarget                                                                                          | unbound-collection |
| org.apache.cassandra.JStackJUnitTask$JStackWatchDog.timeoutOccured                                                                      | unbound-collection |
| org.apache.cassandra.LogbackStatusListener$WrappedPrintStream.append                                                                    | unbound-collection |
| org.apache.cassandra.SchemaLoader.clusteringSASICFMD                                                                                    | unbound-collection |
| org.apache.cassandra.SchemaLoader.compositeIndexCFMD                                                                                    | unbound-collection |
| org.apache.cassandra.SchemaLoader.compositeMultipleIndexCFMD                                                                            | unbound-collection |
| org.apache.cassandra.SchemaLoader.createKeyspace                                                                                        | unbound-collection |
| org.apache.cassandra.SchemaLoader.fullTextSearchSASICFMD                                                                                | unbound-collection |
| org.apache.cassandra.SchemaLoader.insertData                                                                                            | unbound-collection |
| org.apache.cassandra.SchemaLoader.keysIndexCFMD                                                                                         | unbound-collection |
| org.apache.cassandra.SchemaLoader.sasiCFMD                                                                                              | unbound-collection |
| org.apache.cassandra.SchemaLoader.schemaDefinition                                                                                      | unbound-collection |
| org.apache.cassandra.SchemaLoader.staticSASICFMD                                                                                        | unbound-collection |
| org.apache.cassandra.ServerTestUtils.prepareServer                                                                                      | unbound-collection |
| org.apache.cassandra.UpdateBuilder.add                                                                                                  | unbound-collection |
| org.apache.cassandra.Util.compactAll                                                                                                    | unbound-collection |
| org.apache.cassandra.Util.createInitialRing                                                                                             | unbound-collection |
| org.apache.cassandra.Util.getAll                                                                                                        | unbound-collection |
| org.apache.cassandra.Util.getAllUnfiltered                                                                                              | unbound-collection |
| org.apache.cassandra.anttasks.EchoEclipseProjectLibs.buildMsg                                                                           | unbound-collection |
| org.apache.cassandra.audit.AuditLogEntry.getLogString                                                                                   | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilter.loadInputSets                                                                                 | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_ExcludeSetOnly                                                                 | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_FilteredInput_EmptyExclude                                                     | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_FilteredInput_EmptyInclude                                                     | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_IncludeSetOnly                                                                 | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_MutualExclusive                                                                | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_MutualInclusive                                                                | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_NullInputs                                                                     | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_SpecifiedInput                                                                 | unbound-collection |
| org.apache.cassandra.audit.AuditLogFilterTest.isFiltered_UnSpecifiedInput                                                               | unbound-collection |
| org.apache.cassandra.audit.AuditLogManager.buildEntriesForBatch                                                                         | unbound-collection |
| org.apache.cassandra.audit.AuditLoggerTest.testCqlBatchAuditing                                                                         | unbound-collection |
| org.apache.cassandra.audit.AuditLoggerTest.testCqlBatch_MultipleTablesAuditing                                                          | unbound-collection |
| org.apache.cassandra.auth.AuthCache.init                                                                                                | unbound-collection |
| org.apache.cassandra.auth.AuthCacheService.register                                                                                     | unbound-collection |
| org.apache.cassandra.auth.AuthEvents.registerListener                                                                                   | unbound-collection |
| org.apache.cassandra.auth.CassandraAuthorizer.addPermissionsForRole                                                                     | unbound-collection |
| org.apache.cassandra.auth.CassandraAuthorizer.buildListQuery                                                                            | unbound-collection |
| org.apache.cassandra.auth.CassandraAuthorizer.getExistingPermissions                                                                    | unbound-collection |
| org.apache.cassandra.auth.CassandraAuthorizer.listPermissionsForRole                                                                    | unbound-collection |
| org.apache.cassandra.auth.CassandraAuthorizer.revokeAllFrom                                                                             | unbound-collection |
| org.apache.cassandra.auth.CassandraAuthorizer.revokeAllOn                                                                               | unbound-collection |
| org.apache.cassandra.auth.CassandraLoginModule.commit                                                                                   | unbound-collection |
