|                                                                  dimensionalCodeFragment                                                                   |   pattern   |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+
| org.apache.hadoop.hdfs.server.namenode.FSDirDeleteOp.delete                                                                                                | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.byteArray2PathString                                                                                                        | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.bytes2String                                                                                                                | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.checkProtectedDescendants                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.getFlags                                                                                                                    | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.getPathComponents                                                                                                           | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.isValidName                                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.path2String                                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.string2Bytes                                                                                                                | compute-app |
| org.apache.hadoop.hdfs.DFSUtil.strings2PathString                                                                                                          | compute-app |
| org.apache.hadoop.hdfs.DFSUtilClient.bytes2String                                                                                                          | compute-app |
| org.apache.hadoop.hdfs.DFSUtilClient.bytes2byteArray                                                                                                       | compute-app |
| org.apache.hadoop.hdfs.DFSUtilClient.compareBytes                                                                                                          | compute-app |
| org.apache.hadoop.hdfs.DFSUtilClient.isValidName                                                                                                           | compute-app |
| org.apache.hadoop.hdfs.DFSUtilClient.string2Bytes                                                                                                          | compute-app |
| org.apache.hadoop.hdfs.XAttrHelper.buildXAttr                                                                                                              | compute-app |
| org.apache.hadoop.hdfs.XAttrHelper.getPrefixedName                                                                                                         | compute-app |
| org.apache.hadoop.hdfs.net.DFSTopologyNodeImpl.childAddStorage                                                                                             | compute-app |
| org.apache.hadoop.hdfs.net.DFSTopologyNodeImpl.childRemoveStorage                                                                                          | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.equals                                                                                                               | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.getBlockId                                                                                                           | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.getBlockName                                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.getGenerationStamp                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.getNumBytes                                                                                                          | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.matchingIdAndGenStamp                                                                                                | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.set                                                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.setBlockId                                                                                                           | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.setGenerationStamp                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.setNumBytes                                                                                                          | compute-app |
| org.apache.hadoop.hdfs.protocol.Block.toString                                                                                                             | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.chooseExcess                                                                                            | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.chooseStorageTypes                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.diff                                                                                                    | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.getId                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.getName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.isCopyOnCreateFile                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockType.fromBlockId                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.addBytesNeeded                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.addFilesNeeded                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.getBytesNeeded                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.getFilesNeeded                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.getId                                                                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.getPath                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.getPool                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.getReplication                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirective.toInfo                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Builder.build                                                                                           | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Builder.setExpiration                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Builder.setId                                                                                           | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Builder.setPath                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Builder.setPool                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Builder.setReplication                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Expiration.getAbsoluteMillis                                                                            | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo$Expiration.newAbsolute                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo.getExpiration                                                                                           | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo.getId                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo.getPath                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo.getPool                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveInfo.getReplication                                                                                          | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveStats$Builder.build                                                                                          | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveStats$Builder.setBytesNeeded                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveStats$Builder.setFilesCached                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CacheDirectiveStats.getBytesNeeded                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.getDefaultReplication                                                                                        | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.getGroupName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.getLimit                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.getMaxRelativeExpiryMs                                                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.getMode                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.getOwnerName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.getPoolName                                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.setDefaultReplication                                                                                        | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.setGroupName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.setLimit                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.setMaxRelativeExpiryMs                                                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.setMode                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.setOwnerName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.validate                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.CachePoolInfo.validateName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.checkDatanodeUuid                                                                                               | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.equals                                                                                                          | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getByteString                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getDatanodeUuid                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getHostName                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getHostNameBytes                                                                                                | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getInfoPort                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getInfoSecurePort                                                                                               | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getIpAddr                                                                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getIpAddrBytes                                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getIpcAddr                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getIpcAddrWithHostname                                                                                          | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getIpcPort                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getPeerHostName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getXferAddr                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.getXferPort                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.setIpAddr                                                                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.setIpAndXferPort                                                                                                | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.setPeerHostName                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeID.updateRegInfo                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.<obinit>                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.equals                                                                                                        | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getAdminState                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getBlockPoolUsed                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getCacheCapacity                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getCacheUsed                                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getCapacity                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getDependentHostNames                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getDfsUsed                                                                                                    | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getLastBlockReportMonotonic                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getLastBlockReportTime                                                                                        | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getLastUpdate                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getLastUpdateMonotonic                                                                                        | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getLevel                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getName                                                                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getNetworkLocation                                                                                            | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getNonDfsUsed                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getNumBlocks                                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getParent                                                                                                     | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getRemaining                                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getSoftwareVersion                                                                                            | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getUpgradeDomain                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.getXceiverCount                                                                                               | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.isDecommissionInProgress                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.isDecommissioned                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.isEnteringMaintenance                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.isInMaintenance                                                                                               | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.isInService                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.isMaintenance                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.isStale                                                                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.maintenanceNotExpired                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setBlockPoolUsed                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setCacheCapacity                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setCacheUsed                                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setCapacity                                                                                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setDecommissioned                                                                                             | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setDependentHostNames                                                                                         | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setDfsUsed                                                                                                    | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setInMaintenance                                                                                              | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setLastUpdate                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setLastUpdateMonotonic                                                                                        | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setLevel                                                                                                      | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setMaintenanceExpireTimeInMS                                                                                  | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setNetworkLocation                                                                                            | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setNonDfsUsed                                                                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.DatanodeInfo.setParent                                                                                                     | compute-app |
