|                                                              dimensionalCodeFragment                                                              |    pattern    |
+---------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| org.apache.hadoop.hdfs.AdminStatesBaseTest.cleanupFile                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.getDfsClient                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.initExcludeHost                                                                                        | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.initExcludeHosts                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.initIncludeHost                                                                                        | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.initIncludeHosts                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.putNodeInService                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.refreshNodes                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.setup                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.startCluster                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.startSimpleCluster                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.startSimpleHACluster                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.takeNodeOutofService                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.teardown                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.validateCluster                                                                                        | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.writeFile                                                                                              | compute-cross |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.writeIncompleteFile                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.AppendTestUtil.check                                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.AppendTestUtil.checkFullFile                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.AppendTestUtil.createFile                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.AppendTestUtil.createHdfsWithDifferentUsername                                                                             | compute-cross |
| org.apache.hadoop.hdfs.AppendTestUtil.testAppend                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.AppendTestUtil.write                                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.BenchmarkThroughput.readFile                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.BenchmarkThroughput.readLocalFile                                                                                          | compute-cross |
| org.apache.hadoop.hdfs.BenchmarkThroughput.run                                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.BenchmarkThroughput.writeAndReadFile                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.BenchmarkThroughput.writeAndReadLocalFile                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.BenchmarkThroughput.writeFile                                                                                              | compute-cross |
| org.apache.hadoop.hdfs.BenchmarkThroughput.writeLocalFile                                                                                         | compute-cross |
| org.apache.hadoop.hdfs.ByteArrayStrategy.readFromBlock                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.ByteBufferStrategy.readFromBlock                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.ClientContext.getNetworkDistance                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient$Renewer.cancel                                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.DFSClient$Renewer.getNNProxy                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.DFSClient$Renewer.renew                                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.addCacheDirective                                                                                                | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.addCachePool                                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.addErasureCodingPolicies                                                                                         | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.allowSnapshot                                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.append                                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.batchedListPaths                                                                                                 | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.callAppend                                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.callGetBlockLocations                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.cancelDelegationToken                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.checkAccess                                                                                                      | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.closeAllFilesBeingWritten                                                                                        | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.concat                                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.connectToDN                                                                                                      | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.create                                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.createEncryptionZone                                                                                             | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.createSnapshot                                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.createSymlink                                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.createWrappedInputStream                                                                                         | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.createWrappedOutputStream                                                                                        | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.datanodeReport                                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.delete                                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.deleteSnapshot                                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.disableErasureCodingPolicy                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.disallowSnapshot                                                                                                 | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.enableErasureCodingPolicy                                                                                        | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.exists                                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.finalizeUpgrade                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getAclStatus                                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getBlockLocations                                                                                                | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getBlockSize                                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getBytesInFutureBlocks                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getContentSummary                                                                                                | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getCorruptBlocksCount                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getDatanodeStorageReport                                                                                         | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getDelegationToken                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getDiskStatus                                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getECTopologyResultForPolicies                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getEZForPath                                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getErasureCodingCodecs                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getErasureCodingPolicies                                                                                         | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getErasureCodingPolicy                                                                                           | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getFileChecksum                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getFileChecksumInternal                                                                                          | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getFileChecksumWithCombineMode                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getFileInfo                                                                                                      | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getFileLinkInfo                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getHAServiceState                                                                                                | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getInotifyEventStream                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getKeyProvider                                                                                                   | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getKeyProviderUri                                                                                                | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getLinkTarget                                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getLocatedBlocks                                                                                                 | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getLocatedFileInfo                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getLowRedundancyBlocksCount                                                                                      | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getMissingBlocksCount                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getMissingReplOneBlocksCount                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getPendingDeletionBlocksCount                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getQuotaUsage                                                                                                    | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getServerDefaults                                                                                                | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getSnapshotDiffReport                                                                                            | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getSnapshotDiffReportListing                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getSnapshotListing                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getSnapshotRoot                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getSnapshottableDirListing                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getStateByIndex                                                                                                  | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getStoragePolicies                                                                                               | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getStoragePolicy                                                                                                 | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getXAttr                                                                                                         | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.getXAttrs                                                                                                        | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.inferChecksumTypeByReading                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.isFileClosed                                                                                                     | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.isHDFSEncryptionEnabled                                                                                          | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.isSnapshotTrashRootEnabled                                                                                       | compute-cross |
| org.apache.hadoop.hdfs.DFSClient.listCacheDirectives                                                                                              | compute-cross |
