|                                                                  dimensionalCodeFragment                                                                   |   pattern    |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+
| org.apache.hadoop.hdfs.ClientContext.<obinit>                                                                                                              | compute-sync |
| org.apache.hadoop.hdfs.ClientContext.get                                                                                                                   | compute-sync |
| org.apache.hadoop.hdfs.ClientContext.getConfString                                                                                                         | compute-sync |
| org.apache.hadoop.hdfs.ClientContext.initTopologyResolution                                                                                                | compute-sync |
| org.apache.hadoop.hdfs.ClientContext.printConfWarningIfNeeded                                                                                              | compute-sync |
| org.apache.hadoop.hdfs.ClientContext.stopDeadNodeDetectorThread                                                                                            | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.<obinit>                                                                                                                  | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.checkOpen                                                                                                                 | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.close                                                                                                                     | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.closeAllFilesBeingWritten                                                                                                 | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.closeConnectionToNamenode                                                                                                 | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.datanodeReport                                                                                                            | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.endFileLease                                                                                                              | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.getConf                                                                                                                   | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.getConfiguration                                                                                                          | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.getLeaseRenewer                                                                                                           | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.getLocalInterfaceAddrs                                                                                                    | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.getTracer                                                                                                                 | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.initThreadsNumForHedgedReads                                                                                              | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.initThreadsNumForStripedReads                                                                                             | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.newPathTraceScope                                                                                                         | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.recoverLease                                                                                                              | compute-sync |
| org.apache.hadoop.hdfs.DFSClient.removeFileBeingWritten                                                                                                    | compute-sync |
| org.apache.hadoop.hdfs.DFSOutputStream.abort                                                                                                               | compute-sync |
| org.apache.hadoop.hdfs.DFSOutputStream.calculateDelayForNextRetry                                                                                          | compute-sync |
| org.apache.hadoop.hdfs.DFSOutputStream.checkClosed                                                                                                         | compute-sync |
| org.apache.hadoop.hdfs.DFSOutputStream.cleanupAndRethrowIOException                                                                                        | compute-sync |
| org.apache.hadoop.hdfs.DFSOutputStream.close                                                                                                               | compute-sync |
| org.apache.hadoop.hdfs.DFSOutputStream.closeImpl                                                                                                           | compute-sync |
