|                                                            dimensionalCodeFragment                                                            |      pattern       |
+-----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.hadoop.hdfs.AdminStatesBaseTest.takeNodeOutofService                                                                               | unbound-allocation |
| org.apache.hadoop.hdfs.ClientContext.initTopologyResolution                                                                                   | unbound-allocation |
| org.apache.hadoop.hdfs.DFSClient.getLocalInterfaceAddrs                                                                                       | unbound-allocation |
| org.apache.hadoop.hdfs.DFSInputStream.getBlockRange                                                                                           | unbound-allocation |
| org.apache.hadoop.hdfs.DFSInputStream.getFinalizedBlockRange                                                                                  | unbound-allocation |
| org.apache.hadoop.hdfs.DFSInputStream.reportCheckSumFailure                                                                                   | unbound-allocation |
| org.apache.hadoop.hdfs.DFSStripedInputStream.reportLostBlock                                                                                  | unbound-allocation |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.checkStreamers                                                                                  | unbound-allocation |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.getBlockLengths                                                                                 | unbound-allocation |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.getExcludedNodes                                                                                | unbound-allocation |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.markExternalErrorOnStreamers                                                                    | unbound-allocation |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.waitCreatingStreamers                                                                           | unbound-allocation |
| org.apache.hadoop.hdfs.DFSTestUtil$MockUnixGroupsMapping.getGroups                                                                            | unbound-allocation |
| org.apache.hadoop.hdfs.DFSTestUtil.runOperations                                                                                              | unbound-allocation |
| org.apache.hadoop.hdfs.DFSTestUtil.setFederatedConfiguration                                                                                  | unbound-allocation |
| org.apache.hadoop.hdfs.DFSTestUtil.setFederatedHAConfiguration                                                                                | unbound-allocation |
| org.apache.hadoop.hdfs.DFSUtil.flattenAddressMap                                                                                              | unbound-allocation |
| org.apache.hadoop.hdfs.DFSUtil.getAllNnPrincipals                                                                                             | unbound-allocation |
| org.apache.hadoop.hdfs.DFSUtil.getJournalNodeAddresses                                                                                        | unbound-allocation |
| org.apache.hadoop.hdfs.DFSUtil.getNameServiceUris                                                                                             | unbound-allocation |
| org.apache.hadoop.hdfs.DFSUtil.httpServerTemplateForNNAndJN                                                                                   | unbound-allocation |
| org.apache.hadoop.hdfs.DFSUtilClient$CorruptedBlocks.addCorruptedBlock                                                                        | unbound-allocation |
| org.apache.hadoop.hdfs.DistributedFileSystem$PartialListingIterator.next                                                                      | unbound-allocation |
| org.apache.hadoop.hdfs.DistributedFileSystem.batchedListLocatedStatusIterator                                                                 | unbound-allocation |
| org.apache.hadoop.hdfs.DistributedFileSystem.batchedListStatusIterator                                                                        | unbound-allocation |
| org.apache.hadoop.hdfs.DistributedFileSystem.getTrashRoots                                                                                    | unbound-allocation |
| org.apache.hadoop.hdfs.ErasureCodeBenchmarkThroughput.doBenchmark                                                                             | unbound-allocation |
