|                                                                fullyQualifiedName                                                                |      pattern       |
+--------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.hadoop.hdfs.AdminStatesBaseTest.putNodeInService                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.AdminStatesBaseTest.takeNodeOutofService                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.AppendTestUtil.testAppend                                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.ClientContext.initTopologyResolution                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.DFSClient.append                                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DFSClient.callAppend                                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.DFSClient.getLocalInterfaceAddrs                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DFSInputStream.getBestNodeDNAddrPairErrorString                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.DFSInputStream.getBlockRange                                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.DFSInputStream.getFinalizedBlockRange                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.DFSInputStream.hedgedFetchBlockByteRange                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.DFSInputStream.readBlockLength                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.DFSInputStream.reportCheckSumFailure                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.DFSOutputStream.abort                                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.DFSOutputStream.cleanupAndRethrowIOException                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.DFSOutputStream.close                                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedInputStream.reportLostBlock                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.abort                                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.checkStreamerUpdates                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.checkStreamers                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.closeImpl                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.closeThreads                                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.getBlockLengths                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.getExcludedNodes                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.logCorruptBlocks                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.markExternalErrorOnStreamers                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.DFSStripedOutputStream.waitCreatingStreamers                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil$MockUnixGroupsMapping.<clinit>                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil$MockUnixGroupsMapping.getGroups                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.appendFile                                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.appendFileNewBlock                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.closeOpenFiles                                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.createFile                                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.readFile                                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.readResoucePlainFile                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.runOperations                                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.setFederatedConfiguration                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.DFSTestUtil.setFederatedHAConfiguration                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtil.addressMapToString                                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtil.flattenAddressMap                                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtil.getAllNnPrincipals                                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtil.getFlags                                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtil.getJournalNodeAddresses                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtil.getNameServiceUris                                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtil.httpServerTemplateForNNAndJN                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtilClient$CorruptedBlocks.addCorruptedBlock                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtilClient.checkRpcAuxiliary                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.DFSUtilClient.makePathFromFileId                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DataStreamer$ResponseProcessor.run                                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.DataStreamer.addDatanode2ExistingPipeline                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.DataStreamer.backOffIfNecessary                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.DataStreamer.closeStream                                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.DataStreamer.handleBadDatanode                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.DeadNodeDetector.addNodeToDetect                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.build                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.ignoreClientLocality                                                    | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.lazyPersist                                                             | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.newBlock                                                                | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.noLocalRack                                                             | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.noLocalWrite                                                            | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.replicate                                                               | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$HdfsDataOutputStreamBuilder.syncBlock                                                               | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem$PartialListingIterator.next                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.append                                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.appendFile                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.batchedListLocatedStatusIterator                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.batchedListStatusIterator                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.createNonRecursive                                                                                  | unbound-collection |
