|                                                                              dimensionalCodeFragment                                                                               |    pattern    |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| org.apache.ignite.ClassPathContentLoggingTest.testClassPathContentLogging                                                                                                          | compute-cross |
| org.apache.ignite.GridTestIoUtils.assertEqualStreams                                                                                                                               | compute-cross |
| org.apache.ignite.GridTestIoUtils.close                                                                                                                                            | compute-cross |
| org.apache.ignite.GridTestIoUtils.deserializeJdk                                                                                                                                   | compute-cross |
| org.apache.ignite.GridTestIoUtils.serializeJdk                                                                                                                                     | compute-cross |
| org.apache.ignite.IgniteSpringBean.readExternal                                                                                                                                    | compute-cross |
| org.apache.ignite.IgniteSpringBean.writeExternal                                                                                                                                   | compute-cross |
| org.apache.ignite.cache.affinity.AffinityKey.readExternal                                                                                                                          | compute-cross |
| org.apache.ignite.cache.affinity.AffinityKey.writeExternal                                                                                                                         | compute-cross |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark$RendezvousAffinityFunctionOld.readExternal                                                   | compute-cross |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark$RendezvousAffinityFunctionOld.writeExternal                                                  | compute-cross |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.affinityDistribution                                                                         | compute-cross |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.printDistribution                                                                            | compute-cross |
| org.apache.ignite.cache.eviction.AbstractEvictionPolicy.readExternal                                                                                                               | compute-cross |
| org.apache.ignite.cache.eviction.AbstractEvictionPolicy.writeExternal                                                                                                              | compute-cross |
| org.apache.ignite.cache.eviction.sorted.SortedEvictionPolicy.readExternal                                                                                                          | compute-cross |
| org.apache.ignite.cache.eviction.sorted.SortedEvictionPolicy.writeExternal                                                                                                         | compute-cross |
| org.apache.ignite.cache.query.IndexQueryAllTypesTest$PojoField.readObject                                                                                                          | compute-cross |
| org.apache.ignite.cache.query.IndexQueryAllTypesTest$PojoField.writeObject                                                                                                         | compute-cross |
| org.apache.ignite.cache.websession.WebSession.readExternal                                                                                                                         | compute-cross |
| org.apache.ignite.cache.websession.WebSession.writeExternal                                                                                                                        | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter$RequestWrapperV2.changeSessionId                                                                                               | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter$RequestWrapperV2.getSession                                                                                                    | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter$RequestWrapperV2.login                                                                                                         | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter.createSessionV2                                                                                                                | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter.doFilter                                                                                                                       | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter.doFilterDispatch                                                                                                               | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter.doFilterV1                                                                                                                     | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter.doFilterV2                                                                                                                     | compute-cross |
| org.apache.ignite.cache.websession.WebSessionFilter.updateAttributesV2                                                                                                             | compute-cross |
| org.apache.ignite.cache.websession.WebSessionListener$AttributesProcessor.readExternal                                                                                             | compute-cross |
| org.apache.ignite.cache.websession.WebSessionListener$AttributesProcessor.writeExternal                                                                                            | compute-cross |
| org.apache.ignite.cache.websession.WebSessionV2.binaryUpdatesMap                                                                                                                   | compute-cross |
| org.apache.ignite.cache.websession.WebSessionV2.getAttribute                                                                                                                       | compute-cross |
| org.apache.ignite.cache.websession.WebSessionV2.marshalAttributes                                                                                                                  | compute-cross |
| org.apache.ignite.cdc.CdcManagerTest.checkCdcContentWithRollover                                                                                                                   | compute-cross |
| org.apache.ignite.cdc.CdcManagerTest.testRestartNode                                                                                                                               | compute-cross |
| org.apache.ignite.cdc.CdcManagerTest.testSingleSegmentContent                                                                                                                      | compute-cross |
| org.apache.ignite.client.ClientCacheConfigurationTest.testSerialization                                                                                                            | compute-cross |
| org.apache.ignite.client.ClientConfigurationTest.testSerialization                                                                                                                 | compute-cross |
| org.apache.ignite.client.ConnectionTest.testHandshakeTooLargeServerDropsConnection                                                                                                 | compute-cross |
| org.apache.ignite.client.ConnectionTest.testInvalidHandshakeHeaderDropsConnection                                                                                                  | compute-cross |
