|                                                                            dimensionalCodeFragment                                                                            |   pattern    |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+
| org.apache.ignite.Ignite.active                                                                                                                                               | compute-sync |
| org.apache.ignite.Ignite.affinity                                                                                                                                             | compute-sync |
| org.apache.ignite.Ignite.cache                                                                                                                                                | compute-sync |
| org.apache.ignite.Ignite.cluster                                                                                                                                              | compute-sync |
| org.apache.ignite.Ignite.compute                                                                                                                                              | compute-sync |
| org.apache.ignite.Ignite.configuration                                                                                                                                        | compute-sync |
| org.apache.ignite.Ignite.events                                                                                                                                               | compute-sync |
| org.apache.ignite.Ignite.getOrCreateCache                                                                                                                                     | compute-sync |
| org.apache.ignite.Ignite.log                                                                                                                                                  | compute-sync |
| org.apache.ignite.Ignite.name                                                                                                                                                 | compute-sync |
| org.apache.ignite.Ignite.transactions                                                                                                                                         | compute-sync |
| org.apache.ignite.IgniteCache<>.query                                                                                                                                         | compute-sync |
| org.apache.ignite.IgniteCache<Integer,Integer>.get                                                                                                                            | compute-sync |
| org.apache.ignite.IgniteCache<Integer,Integer>.getAll                                                                                                                         | compute-sync |
| org.apache.ignite.IgniteCache<Integer,Integer>.invoke                                                                                                                         | compute-sync |
| org.apache.ignite.IgniteCache<Integer,Integer>.put                                                                                                                            | compute-sync |
| org.apache.ignite.IgniteCache<Integer,Integer>.putAll                                                                                                                         | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.containsKey                                                                                                                     | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.get                                                                                                                             | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.getAndPut                                                                                                                       | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.getAndRemove                                                                                                                    | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.isLocalLocked                                                                                                                   | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.localPeek                                                                                                                       | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.lock                                                                                                                            | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.put                                                                                                                             | compute-sync |
| org.apache.ignite.IgniteCache<Integer,String>.remove                                                                                                                          | compute-sync |
| org.apache.ignite.IgniteCache<Object,Object>.get                                                                                                                              | compute-sync |
| org.apache.ignite.IgniteCache<Object,Object>.lock                                                                                                                             | compute-sync |
| org.apache.ignite.IgniteCache<Object,Object>.put                                                                                                                              | compute-sync |
| org.apache.ignite.IgniteCache<String,Integer>.clear                                                                                                                           | compute-sync |
| org.apache.ignite.IgniteCache<String,Integer>.get                                                                                                                             | compute-sync |
| org.apache.ignite.IgniteCache<String,Integer>.isLocalLocked                                                                                                                   | compute-sync |
| org.apache.ignite.IgniteCache<String,Integer>.localPeek                                                                                                                       | compute-sync |
| org.apache.ignite.IgniteCache<String,Integer>.put                                                                                                                             | compute-sync |
| org.apache.ignite.IgniteCache<String,Integer>.putAll                                                                                                                          | compute-sync |
| org.apache.ignite.IgniteCache<String,Integer>.remove                                                                                                                          | compute-sync |
| org.apache.ignite.IgniteCache<String,Long>.getAsync                                                                                                                           | compute-sync |
| org.apache.ignite.IgniteCache<String,Long>.invokeAsync                                                                                                                        | compute-sync |
