|                                                                                dimensionalCodeFragment                                                                                |      pattern       |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.ignite.IgniteCacheAffinitySelfTest.checkMapKeysToNodes                                                                                                                     | unbound-allocation |
| org.apache.ignite.IgniteCacheAffinitySelfTest.checkMapPartitionsToNodes                                                                                                               | unbound-allocation |
| org.apache.ignite.IgniteExternalizableAbstractTest.getMarshallers                                                                                                                     | unbound-allocation |
| org.apache.ignite.cache.LargeEntryUpdateTest.testEntryUpdate                                                                                                                          | unbound-allocation |
| org.apache.ignite.cache.QueryEntity.checkFields                                                                                                                                       | unbound-allocation |
| org.apache.ignite.cache.affinity.AbstractAffinityFunctionSelfTest.checkNodeRemoved                                                                                                    | unbound-allocation |
| org.apache.ignite.cache.affinity.AbstractAffinityFunctionSelfTest.checkRandomReassignment                                                                                             | unbound-allocation |
| org.apache.ignite.cache.affinity.AffinityDistributionLoggingTest$EvenDistributionAffinityFunction.assignPartitions                                                                    | unbound-allocation |
| org.apache.ignite.cache.affinity.AffinityFunctionExcludeNeighborsAbstractSelfTest.testAffinityMultiNode                                                                               | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunction.assignPartition                                                                                                | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunction.assignPartitions                                                                                               | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunction.replicatedAssign                                                                                               | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionExcludeNeighborsSelfTest.testAffinityWithBackupFilter                                                           | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark$RendezvousAffinityFunctionOld.assignPartition                                                   | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark$RendezvousAffinityFunctionOld.assignPartitions                                                  | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.affinityBenchmark                                                                               | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.createBaseNodes                                                                                 | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.freqDistribution                                                                                | unbound-allocation |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.structureOf                                                                                     | unbound-allocation |
| org.apache.ignite.cache.eviction.sorted.SortedEvictionPolicy.queue                                                                                                                    | unbound-allocation |
| org.apache.ignite.cache.query.IndexQueryInCriterionTest.testMultipleInCriterion                                                                                                       | unbound-allocation |
| org.apache.ignite.cache.query.IndexQueryInCriterionTest.testSingleInWithMultipleRangeCriterion                                                                                        | unbound-allocation |
| org.apache.ignite.cache.query.IndexQueryLimitTest.checkLimit                                                                                                                          | unbound-allocation |
| org.apache.ignite.cache.query.IndexQueryRangeTest.check                                                                                                                               | unbound-allocation |
| org.apache.ignite.cache.query.IndexQueryRangeTest.testParams                                                                                                                          | unbound-allocation |
| org.apache.ignite.cache.query.RepeatedFieldIndexQueryTest.testRangeQueriesWithTwoCriteriaSingleField                                                                                  | unbound-allocation |
| org.apache.ignite.cache.store.CacheStoreSessionListenerReadWriteThroughDisabledAbstractTest.testBatchLookup                                                                           | unbound-allocation |
| org.apache.ignite.cache.store.CacheStoreSessionListenerReadWriteThroughDisabledAbstractTest.testBatchRemove                                                                           | unbound-allocation |
| org.apache.ignite.cache.store.IgniteCacheExpiryStoreLoadSelfTest.checkLoad                                                                                                            | unbound-allocation |
| org.apache.ignite.cache.store.IgniteCacheExpiryStoreLoadSelfTest.testLoadAllWithExpiry                                                                                                | unbound-allocation |
| org.apache.ignite.cache.store.jdbc.CacheAbstractJdbcStore.getOrCreateCacheMappings                                                                                                    | unbound-allocation |
| org.apache.ignite.cache.store.jdbc.CacheJdbcPojoWriteBehindStoreWithCoalescingTest.getCacheConfiguration                                                                              | unbound-allocation |
| org.apache.ignite.cache.websession.WebSessionV2.attributeNames                                                                                                                        | unbound-allocation |
| org.apache.ignite.cdc.CdcCacheVersionTest.parameters                                                                                                                                  | unbound-allocation |
| org.apache.ignite.cdc.CdcSelfTest.parameters                                                                                                                                          | unbound-allocation |
| org.apache.ignite.cdc.CdcSelfTest.testReadExpireTime                                                                                                                                  | unbound-allocation |
| org.apache.ignite.cdc.CdcSelfTest.testReadOneByOneForBackup                                                                                                                           | unbound-allocation |
| org.apache.ignite.cdc.WalForCdcTest.parameters                                                                                                                                        | unbound-allocation |
| org.apache.ignite.cdc.WalRolloverOnStopTest.testWallRollover                                                                                                                          | unbound-allocation |
| org.apache.ignite.client.ReliabilityTest.testData                                                                                                                                     | unbound-allocation |
| org.apache.ignite.codegen.SystemViewRowAttributeWalkerGenerator.addLicenseHeader                                                                                                      | unbound-allocation |
| org.apache.ignite.codegen.SystemViewRowAttributeWalkerGenerator.forEachMethod                                                                                                         | unbound-allocation |
| org.apache.ignite.codegen.SystemViewRowAttributeWalkerGenerator.generate                                                                                                              | unbound-allocation |
| org.apache.ignite.common.CacheCreateDestroyEventSecurityContextTest.sendRestRequest                                                                                                   | unbound-allocation |
| org.apache.ignite.common.CacheEventSecurityContextTest.checkEvents                                                                                                                    | unbound-allocation |
| org.apache.ignite.common.CacheEventSecurityContextTest.data                                                                                                                           | unbound-allocation |
| org.apache.ignite.common.CacheEventSecurityContextTest.sendRestRequest                                                                                                                | unbound-allocation |
| org.apache.ignite.common.ComputeTaskRemoteSecurityContextTest.data                                                                                                                    | unbound-allocation |
| org.apache.ignite.compatibility.clients.JavaThinCompatibilityTest.testContinuousQueries                                                                                               | unbound-allocation |
| org.apache.ignite.compatibility.persistence.FoldersReuseCompatibilityTest.getAllNodeIndexesInFolder                                                                                   | unbound-allocation |
| org.apache.ignite.compatibility.persistence.IndexAbstractCompatibilityTest.getExcluded                                                                                                | unbound-allocation |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityAbstractTest.getExcluded                                                                                      | unbound-allocation |
| org.apache.ignite.configuration.DefaultCommunicationFailureResolver.findConnectedClients                                                                                              | unbound-allocation |
| org.apache.ignite.development.utils.IgniteWalConverter.toString                                                                                                                       | unbound-allocation |
| org.apache.ignite.development.utils.IgniteWalConverterArguments.parse                                                                                                                 | unbound-allocation |
| org.apache.ignite.development.utils.IgniteWalConverterSensitiveDataTest.exeWithCheck                                                                                                  | unbound-allocation |
| org.apache.ignite.development.utils.IgniteWalConverterSensitiveDataTest.withSensitiveData                                                                                             | unbound-allocation |
| org.apache.ignite.development.utils.IgniteWalConverterTest.testPages                                                                                                                  | unbound-allocation |
| org.apache.ignite.internal.ClusterMetricsMXBeanImpl.attributeValues                                                                                                                   | unbound-allocation |
| org.apache.ignite.internal.ClusterMetricsMXBeanImpl.nodeIdsForAttribute                                                                                                               | unbound-allocation |
| org.apache.ignite.internal.DiagnosticLogForPartitionStatesTest.doTest                                                                                                                 | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testHashMapAtomic                                                                                                       | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testHashMapPutAllExactMessage                                                                                           | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testHashMapPutAllExplicitOptimistic                                                                                     | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testHashSetGetAllReplicated                                                                                             | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testHashSetGetAllTx                                                                                                     | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testTreeMapClearEntries                                                                                                 | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testTreeMapRemoveAll                                                                                                    | unbound-allocation |
| org.apache.ignite.internal.GridCacheHashMapPutAllWarningsTest.testTreeMapRemoveAllEntries                                                                                             | unbound-allocation |
| org.apache.ignite.internal.GridDiscoverySelfTest.testCacheNodes                                                                                                                       | unbound-allocation |
| org.apache.ignite.internal.GridMultithreadedJobStealingSelfTest$JobStealingTask.reduce                                                                                                | unbound-allocation |
| org.apache.ignite.internal.GridNodeMetricsLogSelfTest.checkDataRegionsMetrics                                                                                                         | unbound-allocation |
| org.apache.ignite.internal.GridProjectionForCachesSelfTest.getConfiguration                                                                                                           | unbound-allocation |
| org.apache.ignite.internal.GridReduceSelfTest.closures                                                                                                                                | unbound-allocation |
| org.apache.ignite.internal.GridTaskSessionImpl.addAttributeListener                                                                                                                   | unbound-allocation |
| org.apache.ignite.internal.IgniteClientReconnectAbstractTest.reconnectClientNodes                                                                                                     | unbound-allocation |
| org.apache.ignite.internal.IgniteClientReconnectApiExceptionTest.doTestIgniteOperationOnDisconnect                                                                                    | unbound-allocation |
| org.apache.ignite.internal.IgniteClientReconnectCacheTest$TestCommunicationSpi.blockMessages                                                                                          | unbound-allocation |
| org.apache.ignite.internal.IgniteClientReconnectCacheTest.reconnectMultinode                                                                                                          | unbound-allocation |
| org.apache.ignite.internal.IgniteClientReconnectCacheTest.testReconnectClusterRestartMultinode                                                                                        | unbound-allocation |
| org.apache.ignite.internal.IgniteClientRejoinTest.testClientsReconnect                                                                                                                | unbound-allocation |
| org.apache.ignite.internal.IgniteClientRejoinTest.testClientsReconnectAfterStart                                                                                                      | unbound-allocation |
| org.apache.ignite.internal.IgniteClientRejoinTest.testClientsReconnectDisabled                                                                                                        | unbound-allocation |
| org.apache.ignite.internal.IgniteDiagnosticPrepareContext$CompoundInfoClosure.add                                                                                                     | unbound-allocation |
| org.apache.ignite.internal.IgniteKernal.createCaches                                                                                                                                  | unbound-allocation |
| org.apache.ignite.internal.IgniteKernal.getOrCreateCaches                                                                                                                             | unbound-allocation |
| org.apache.ignite.internal.IgniteKernal.lifecycleBeansFormatted                                                                                                                       | unbound-allocation |
| org.apache.ignite.internal.IgnitionEx$IgniteNamedInstance.initializeDefaultCacheConfiguration                                                                                         | unbound-allocation |
| org.apache.ignite.internal.IgnitionEx.allGrids                                                                                                                                        | unbound-allocation |
| org.apache.ignite.internal.IgnitionEx.convertLegacyDataStorageConfigurationToNew                                                                                                      | unbound-allocation |
| org.apache.ignite.internal.IgnitionEx.startConfigurations                                                                                                                             | unbound-allocation |
| org.apache.ignite.internal.TestRecordingCommunicationSpi.blockMessages                                                                                                                | unbound-allocation |
| org.apache.ignite.internal.benchmarks.jmh.collections.SmallHashSetsVsReadOnlyViewBenchmark.setup                                                                                      | unbound-allocation |
| org.apache.ignite.internal.benchmarks.jmh.misc.GridDhtPartitionsStateValidatorBenchmark$Context.setup                                                                                 | unbound-allocation |
| org.apache.ignite.internal.benchmarks.jol.GridAffinityAssignmentJolBenchmark.measure                                                                                                  | unbound-allocation |
| org.apache.ignite.internal.benchmarks.jol.GridAffinityAssignmentJolBenchmark.measureHistory0                                                                                          | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryArrayIdentityResolverSelfTest.getConfiguration                                                                                                | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryClassDescriptor.duplicateFields                                                                                                               | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryContext.<clinit>                                                                                                                              | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryObjectBuilderAdditionalSelfTest.testArrayListModification                                                                                     | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryObjectBuilderAdditionalSelfTest.testCollectionsSerialization                                                                                  | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryObjectBuilderAdditionalSelfTest.testCyclicArrayList                                                                                           | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryObjectBuilderAdditionalSelfTest.testHashSetModification                                                                                       | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryObjectBuilderAdditionalSelfTest.testHashSetOverride                                                                                           | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryObjectBuilderAdditionalSelfTest.testHashSetWriteUnmodifiable                                                                                  | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryObjectBuilderAdditionalSelfTest.testLinkedListModification                                                                                    | unbound-allocation |
| org.apache.ignite.internal.binary.BinaryReaderExImpl.getOrCreateSchema                                                                                                                | unbound-allocation |
| org.apache.ignite.internal.binary.BinarySchema.readFrom                                                                                                                               | unbound-allocation |
| org.apache.ignite.internal.binary.BinarySchemaRegistry.schemas                                                                                                                        | unbound-allocation |
| org.apache.ignite.internal.binary.builder.BinaryLazySet.init                                                                                                                          | unbound-allocation |
| org.apache.ignite.internal.cache.query.index.IndexKeyQueryCondition.splitInToRanges                                                                                                   | unbound-allocation |
| org.apache.ignite.internal.cache.query.index.IndexProcessor.treeIndexes                                                                                                               | unbound-allocation |
| org.apache.ignite.internal.cache.query.index.sorted.DurableBackgroundCleanupIndexTreeTask.execute                                                                                     | unbound-allocation |
| org.apache.ignite.internal.cache.query.index.sorted.inline.InlineIndexKeyTypeRegistry.types                                                                                           | unbound-allocation |
| org.apache.ignite.internal.cache.query.index.sorted.maintenance.MaintenanceRebuildIndexUtils.parseMaintenanceTaskParameters                                                           | unbound-allocation |
| org.apache.ignite.internal.cdc.CdcMain.consumeWalSegmentsUntilStopped                                                                                                                 | unbound-allocation |
| org.apache.ignite.internal.client.ClientHttpTask.split                                                                                                                                | unbound-allocation |
| org.apache.ignite.internal.client.impl.ClientFutureAdapterSelfTest.testChains                                                                                                         | unbound-allocation |
| org.apache.ignite.internal.client.impl.GridClientImpl.addresses                                                                                                                       | unbound-allocation |
| org.apache.ignite.internal.client.impl.GridClientNodeImpl.filterIfNecessary                                                                                                           | unbound-allocation |
| org.apache.ignite.internal.client.impl.connection.GridClientConnectionManagerAdapter.connection                                                                                       | unbound-allocation |
| org.apache.ignite.internal.client.integration.ClientAbstractSelfTest$HttpTestTask.split                                                                                               | unbound-allocation |
| org.apache.ignite.internal.client.integration.ClientAbstractSelfTest$SleepHttpTestTask.split                                                                                          | unbound-allocation |
| org.apache.ignite.internal.client.integration.ClientPreferDirectSelfTest.executeTest                                                                                                  | unbound-allocation |
| org.apache.ignite.internal.client.monitoring.EventListenerDemultiplexer.create                                                                                                        | unbound-allocation |
| org.apache.ignite.internal.client.thin.ClientCacheEntryListenerHandler.acceptNotification                                                                                             | unbound-allocation |
| org.apache.ignite.internal.client.thin.ClientClusterGroupImpl.nodesByIds                                                                                                              | unbound-allocation |
| org.apache.ignite.internal.client.thin.ClientDiscoveryContext$TopologyInfo.normalizeEndpoints                                                                                         | unbound-allocation |
| org.apache.ignite.internal.client.thin.ClientFieldsQueryPager.readEntries                                                                                                             | unbound-allocation |
