|                                                                                  fullyQualifiedName                                                                                   |      pattern       |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.ignite.ClassPathContentLoggingTest.beforeTestsStarted                                                                                                                      | unbound-collection |
| org.apache.ignite.ClassPathContentLoggingTest.testClassPathContentLogging                                                                                                             | unbound-collection |
| org.apache.ignite.DataRegionMetricsAdapter.collectionOf                                                                                                                               | unbound-collection |
| org.apache.ignite.GridCacheAffinityBackupsSelfTest.checkBackups                                                                                                                       | unbound-collection |
| org.apache.ignite.GridTestTask.split                                                                                                                                                  | unbound-collection |
| org.apache.ignite.GridTestTaskSession.addAttributeListener                                                                                                                            | unbound-collection |
| org.apache.ignite.GridTestTaskSession.toString                                                                                                                                        | unbound-collection |
| org.apache.ignite.IgniteCacheAffinitySelfTest.checkEqualIntArray                                                                                                                      | unbound-collection |
| org.apache.ignite.IgniteCacheAffinitySelfTest.checkMapKeysToNodes                                                                                                                     | unbound-collection |
| org.apache.ignite.IgniteCacheAffinitySelfTest.checkMapPartitionsToNodes                                                                                                               | unbound-collection |
| org.apache.ignite.IgniteExternalizableAbstractTest.getMarshallers                                                                                                                     | unbound-collection |
| org.apache.ignite.cache.CacheManager.getCacheNames                                                                                                                                    | unbound-collection |
| org.apache.ignite.cache.LargeEntryUpdateTest.testEntryUpdate                                                                                                                          | unbound-collection |
| org.apache.ignite.cache.QueryEntity.checkEquals                                                                                                                                       | unbound-collection |
| org.apache.ignite.cache.QueryEntity.checkFields                                                                                                                                       | unbound-collection |
| org.apache.ignite.cache.QueryEntity.checkIndexes                                                                                                                                      | unbound-collection |
| org.apache.ignite.cache.QueryEntity.convert                                                                                                                                           | unbound-collection |
| org.apache.ignite.cache.QueryEntity.findAliasConflicts                                                                                                                                | unbound-collection |
| org.apache.ignite.cache.QueryEntity.makePatch                                                                                                                                         | unbound-collection |
| org.apache.ignite.cache.affinity.AbstractAffinityFunctionSelfTest.checkNodeRemoved                                                                                                    | unbound-collection |
| org.apache.ignite.cache.affinity.AbstractAffinityFunctionSelfTest.checkRandomReassignment                                                                                             | unbound-collection |
| org.apache.ignite.cache.affinity.AbstractAffinityFunctionSelfTest.verifyAssignment                                                                                                    | unbound-collection |
| org.apache.ignite.cache.affinity.AffinityDistributionLoggingTest$EvenDistributionAffinityFunction.assignPartitions                                                                    | unbound-collection |
| org.apache.ignite.cache.affinity.AffinityFunctionExcludeNeighborsAbstractSelfTest.testAffinityMultiNode                                                                               | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunction.assignPartition                                                                                                | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunction.assignPartitions                                                                                               | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunction.replicatedAssign                                                                                               | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionExcludeNeighborsSelfTest.testAffinityWithBackupFilter                                                           | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark$RendezvousAffinityFunctionOld.assignPartition                                                   | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark$RendezvousAffinityFunctionOld.assignPartitions                                                  | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.addNode                                                                                         | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.affinityBenchmark                                                                               | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.createBaseNodes                                                                                 | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.freqDistribution                                                                                | unbound-collection |
| org.apache.ignite.cache.affinity.rendezvous.RendezvousAffinityFunctionSimpleBenchmark.structureOf                                                                                     | unbound-collection |
| org.apache.ignite.cache.eviction.AbstractEvictionPolicy.onEntryAccessed                                                                                                               | unbound-collection |
| org.apache.ignite.cache.eviction.fifo.FifoEvictionPolicy.shrink0                                                                                                                      | unbound-collection |
| org.apache.ignite.cache.eviction.fifo.FifoEvictionPolicy.touch                                                                                                                        | unbound-collection |
| org.apache.ignite.cache.eviction.lru.LruEvictionPolicy.shrink0                                                                                                                        | unbound-collection |
| org.apache.ignite.cache.eviction.lru.LruEvictionPolicy.touch                                                                                                                          | unbound-collection |
| org.apache.ignite.cache.eviction.sorted.SortedEvictionPolicy$GridConcurrentSkipListSetEx.add                                                                                          | unbound-collection |
| org.apache.ignite.cache.eviction.sorted.SortedEvictionPolicy.queue                                                                                                                    | unbound-collection |
| org.apache.ignite.cache.eviction.sorted.SortedEvictionPolicy.shrink0                                                                                                                  | unbound-collection |
| org.apache.ignite.cache.eviction.sorted.SortedEvictionPolicy.touch                                                                                                                    | unbound-collection |
| org.apache.ignite.cache.query.IndexQueryAllTypesTest$PojoField.readObject                                                                                                             | unbound-collection |
| org.apache.ignite.cache.query.IndexQueryInCriterionTest.testMultipleInCriterion                                                                                                       | unbound-collection |
| org.apache.ignite.cache.query.IndexQueryInCriterionTest.testSingleInWithMultipleRangeCriterion                                                                                        | unbound-collection |
