|                            dimensionalCodeFragment                             |      pattern       |
+--------------------------------------------------------------------------------+--------------------+
| org.apache.cassandra.batchlog.BatchlogManager.store                            | unbound-allocation |
| org.apache.cassandra.cql3.Cql_Parser.setLiteral                                | unbound-allocation |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptionsWithNowInSec       | unbound-allocation |
| org.apache.cassandra.cql3.Sets$Literal.prepare                                 | unbound-allocation |
| org.apache.cassandra.cql3.statements.BatchStatement.getMutations               | unbound-allocation |
| org.apache.cassandra.cql3.statements.SingleTableUpdatesCollector.toMutations   | unbound-allocation |
| org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutMemtable              | unbound-allocation |
| org.apache.cassandra.db.Keyspace.getValidColumnFamilies                        | unbound-allocation |
| org.apache.cassandra.db.SystemKeyspace.tokensAsSet                             | unbound-allocation |
| org.apache.cassandra.db.compaction.CompactionManager.submitBackground          | unbound-allocation |
| org.apache.cassandra.db.repair.PendingAntiCompaction$AcquisitionCallback.apply | unbound-allocation |
| org.apache.cassandra.db.repair.PendingAntiCompaction.run                       | unbound-allocation |
| org.apache.cassandra.gms.GossipDigestSerializationHelper.deserialize           | unbound-allocation |
| org.apache.cassandra.gms.Gossiper.getLiveMembers                               | unbound-allocation |
| org.apache.cassandra.locator.TokenMetadata.calculatePendingRanges              | unbound-allocation |
| org.apache.cassandra.repair.RepairSession.start                                | unbound-allocation |
| org.apache.cassandra.repair.consistent.RepairedState.addAll                    | unbound-allocation |
| org.apache.cassandra.schema.SystemDistributedKeyspace.startRepairs             | unbound-allocation |
| org.apache.cassandra.serializers.SetSerializer.deserializeForNativeProtocol    | unbound-allocation |
| org.apache.cassandra.serializers.SetSerializer.serializeValues                 | unbound-allocation |
| org.apache.cassandra.service.ActiveRepairService.prepareForRepair              | unbound-allocation |
| org.apache.cassandra.service.StorageProxy.fetchRows                            | unbound-allocation |
| org.apache.cassandra.service.StorageProxy.mutateAtomically                     | unbound-allocation |
| org.apache.cassandra.service.StorageProxy.sendToHintedReplicas                 | unbound-allocation |
| org.apache.cassandra.service.StorageService.getAllRanges                       | unbound-allocation |
| org.apache.cassandra.service.StorageService.getLocalPrimaryRangeForEndpoint    | unbound-allocation |
| org.apache.cassandra.service.StorageService.updateTokenMetadata                | unbound-allocation |
| org.apache.cassandra.transport.messages.BatchMessage.execute                   | unbound-allocation |
| org.apache.cassandra.triggers.TriggerExecutor.execute                          | unbound-allocation |
