|                                    fullyQualifiedName                                    |      pattern       |
+------------------------------------------------------------------------------------------+--------------------+
| org.apache.cassandra.batchlog.Batch$Serializer.readEncodedMutations                      | unbound-collection |
| org.apache.cassandra.batchlog.BatchlogManager.store                                      | unbound-collection |
| org.apache.cassandra.concurrent.SEPExecutor.addTask                                      | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.setLiteral                                          | unbound-collection |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptionsWithNowInSec                 | unbound-collection |
| org.apache.cassandra.cql3.Sets$DelayedValue.bind                                         | unbound-collection |
| org.apache.cassandra.cql3.Sets$Literal.prepare                                           | unbound-collection |
| org.apache.cassandra.cql3.Sets$Value.fromSerialized                                      | unbound-collection |
| org.apache.cassandra.cql3.statements.BatchStatement.getMutations                         | unbound-collection |
| org.apache.cassandra.cql3.statements.SingleTableUpdatesCollector.toMutations             | unbound-collection |
| org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutMemtable                        | unbound-collection |
| org.apache.cassandra.db.ColumnIndex.buildRowIndex                                        | unbound-collection |
| org.apache.cassandra.db.Keyspace.getValidColumnFamilies                                  | unbound-collection |
| org.apache.cassandra.db.RegularAndStaticColumns$Builder.addAll                           | unbound-collection |
| org.apache.cassandra.db.SimpleBuilders$RowBuilder.add                                    | unbound-collection |
| org.apache.cassandra.db.SystemKeyspace.tokensAsSet                                       | unbound-collection |
| org.apache.cassandra.db.SystemKeyspace.updateSizeEstimates                               | unbound-collection |
| org.apache.cassandra.db.SystemKeyspace.updateTableEstimates                              | unbound-collection |
| org.apache.cassandra.db.compaction.CompactionManager.submitBackground                    | unbound-collection |
| org.apache.cassandra.db.compaction.CompactionTask.runMayThrow                            | unbound-collection |
| org.apache.cassandra.db.memtable.Flushing$FlushRunnable.writeSortedContents              | unbound-collection |
| org.apache.cassandra.db.partitions.PartitionUpdate$PartitionUpdateSerializer.deserialize | unbound-collection |
| org.apache.cassandra.db.repair.PendingAntiCompaction$AcquisitionCallback.apply           | unbound-collection |
| org.apache.cassandra.db.repair.PendingAntiCompaction.run                                 | unbound-collection |
| org.apache.cassandra.db.rows.BTreeRow$Builder.addCell                                    | unbound-collection |
| org.apache.cassandra.db.rows.Row$Merger$ColumnDataReducer.getReduced                     | unbound-collection |
| org.apache.cassandra.dht.Murmur3Partitioner.midpoint                                     | unbound-collection |
| org.apache.cassandra.gms.ArrivalWindow.add                                               | unbound-collection |
| org.apache.cassandra.gms.GossipDigestSerializationHelper.deserialize                     | unbound-collection |
| org.apache.cassandra.gms.Gossiper.getLiveMembers                                         | unbound-collection |
| org.apache.cassandra.gms.Gossiper.makeRandomGossipDigest                                 | unbound-collection |
| org.apache.cassandra.gms.TokenSerializer.deserialize                                     | unbound-collection |
| org.apache.cassandra.io.sstable.SSTableRewriter.append                                   | unbound-collection |
| org.apache.cassandra.locator.AbstractReplicaCollection.filter                            | unbound-collection |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getAddressReplicas              | unbound-collection |
| org.apache.cassandra.locator.SimpleStrategy.calculateNaturalReplicas                     | unbound-collection |
| org.apache.cassandra.locator.TokenMetadata.calculatePendingRanges                        | unbound-collection |
| org.apache.cassandra.locator.TokenMetadata.getPrimaryRangesFor                           | unbound-collection |
| org.apache.cassandra.repair.RepairSession.start                                          | unbound-collection |
| org.apache.cassandra.repair.ValidationManager.doValidation                               | unbound-collection |
| org.apache.cassandra.repair.consistent.LocalSessions.maybeUpdateRepairedState            | unbound-collection |
| org.apache.cassandra.repair.consistent.RepairedState.addAll                              | unbound-collection |
| org.apache.cassandra.schema.SchemaKeyspace.fetchTables                                   | unbound-collection |
| org.apache.cassandra.schema.SystemDistributedKeyspace.startRepairs                       | unbound-collection |
| org.apache.cassandra.serializers.SetSerializer.deserializeForNativeProtocol              | unbound-collection |
| org.apache.cassandra.serializers.SetSerializer.serializeValues                           | unbound-collection |
| org.apache.cassandra.service.ActiveRepairService.prepareForRepair                        | unbound-collection |
| org.apache.cassandra.service.StorageProxy.fetchRows                                      | unbound-collection |
| org.apache.cassandra.service.StorageProxy.mutateAtomically                               | unbound-collection |
| org.apache.cassandra.service.StorageProxy.sendToHintedReplicas                           | unbound-collection |
| org.apache.cassandra.service.StorageService.getAllRanges                                 | unbound-collection |
| org.apache.cassandra.service.StorageService.getLocalPrimaryRangeForEndpoint              | unbound-collection |
| org.apache.cassandra.service.StorageService.getPrimaryRangesForEndpoint                  | unbound-collection |
| org.apache.cassandra.service.StorageService.updateTokenMetadata                          | unbound-collection |
| org.apache.cassandra.transport.messages.BatchMessage.execute                             | unbound-collection |
| org.apache.cassandra.triggers.TriggerExecutor.execute                                    | unbound-collection |
| org.apache.cassandra.utils.MerkleTree.histogramOfRowCountPerLeaf                         | unbound-collection |
| org.apache.cassandra.utils.MerkleTree.histogramOfRowSizePerLeaf                          | unbound-collection |
| org.apache.cassandra.utils.concurrent.WaitQueue$Standard.register                        | unbound-collection |
| org.apache.cassandra.utils.memory.BufferPool$LocalPool.tryGet                            | unbound-collection |
