|                                         dimensionalCodeFragment                                         |   pattern   |
+---------------------------------------------------------------------------------------------------------+-------------+
| org.apache.hadoop.hdfs.DFSUtilClient.compareBytes                                                       | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.chooseStorageTypes                                   | compute-app |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.diff                                                 | compute-app |
| org.apache.hadoop.hdfs.protocol.LocatedBlock.convert                                                    | compute-app |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convert                                                | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockInfo.findStorageInfo                                 | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.addExpectedReplicasToPending                 | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.checkRedundancy                              | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.countNodes                                   | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.getBlockPlacementStatus                      | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.processAndHandleReportedBlock                | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.addReplicaIfNotPresent      | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.getExpectedStorageLocations | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.getStaleReplicas            | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.setExpectedLocations        | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeDescriptor.hasStorageType                         | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.getNumLiveDataNodes                       | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeStorageInfo.toDatanodeInfos                       | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeStorageInfo.toStorageIDs                          | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeStorageInfo.toStorageTypes                        | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.Host2NodesMap.contains                                    | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.Host2NodesMap.getDatanodeByXferAddr                       | compute-app |
| org.apache.hadoop.hdfs.server.blockmanagement.LowRedundancyBlocks.add                                   | compute-app |
| org.apache.hadoop.hdfs.server.namenode.FSNamesystemLock.readUnlock                                      | compute-app |
| org.apache.hadoop.hdfs.server.namenode.FSNamesystemLock.writeUnlock                                     | compute-app |
| org.apache.hadoop.hdfs.server.namenode.INodeFile.assertAllBlocksComplete                                | compute-app |
| org.apache.hadoop.hdfs.server.namenode.INodeFile.computeFileSize                                        | compute-app |
| org.apache.hadoop.hdfs.server.namenode.NameNodeResourcePolicy.areResourcesAvailable                     | compute-app |
