|                                           dimensionalCodeFragment                                            |   pattern    |
+--------------------------------------------------------------------------------------------------------------+--------------+
| org.apache.hadoop.hdfs.DFSUtilClient.compareBytes                                                            | compute-sync |
| org.apache.hadoop.hdfs.net.DFSNetworkTopology.chooseRandomWithStorageType                                    | compute-sync |
| org.apache.hadoop.hdfs.net.DFSNetworkTopology.chooseRandomWithStorageTypeTwoTrial                            | compute-sync |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.chooseStorageTypes                                        | compute-sync |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.diff                                                      | compute-sync |
| org.apache.hadoop.hdfs.protocol.LocatedBlock.convert                                                         | compute-sync |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convert                                                     | compute-sync |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convertStorageTypes                                         | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockInfo.findStorageInfo                                      | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.addExpectedReplicasToPending                      | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.checkRedundancy                                   | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.chooseSourceDatanodes                             | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.computeReconstructionWorkForBlocks                | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.countNodes                                        | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.getBlockPlacementStatus                           | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.processAndHandleReportedBlock                     | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.processIncrementalBlockReport                     | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.scheduleReconstruction                            | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.validateReconstructionWork                        | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault.getPipeline                        | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.addReplicaIfNotPresent           | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.appendUCPartsConcise             | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.getExpectedStorageLocations      | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.getStaleReplicas                 | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.setExpectedLocations             | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.CacheReplicationMonitor.rescanCachedBlockMap                   | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeDescriptor.hasStorageType                              | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.fetchDatanodes                                 | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.getDatanodeListForReport                       | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.getNumLiveDataNodes                            | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.removeDecomNodeFromList                        | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.resetLastCachingDirectiveSentTime              | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeStorageInfo.incrementBlocksScheduled                   | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeStorageInfo.toDatanodeInfos                            | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeStorageInfo.toStorageIDs                               | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeStorageInfo.toStorageTypes                             | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.HeartbeatManager.heartbeatCheck                                | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.Host2NodesMap.contains                                         | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.Host2NodesMap.getDatanodeByXferAddr                            | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.LowRedundancyBlocks.add                                        | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.LowRedundancyBlocks.chooseLowRedundancyBlocks                  | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.PendingReconstructionBlocks$PendingBlockInfo.decrementReplicas | compute-sync |
| org.apache.hadoop.hdfs.server.blockmanagement.PendingReconstructionBlocks.decrement                          | compute-sync |
| org.apache.hadoop.hdfs.server.namenode.FSNamesystem.checkBlocksComplete                                      | compute-sync |
| org.apache.hadoop.hdfs.server.namenode.FSNamesystemLock.readUnlock                                           | compute-sync |
| org.apache.hadoop.hdfs.server.namenode.FSNamesystemLock.writeUnlock                                          | compute-sync |
| org.apache.hadoop.hdfs.server.namenode.INodeFile.assertAllBlocksComplete                                     | compute-sync |
| org.apache.hadoop.hdfs.server.namenode.INodeFile.computeFileSize                                             | compute-sync |
| org.apache.hadoop.hdfs.server.namenode.LeaseManager.checkLeases                                              | compute-sync |
| org.apache.hadoop.hdfs.server.namenode.NameNodeResourcePolicy.areResourcesAvailable                          | compute-sync |
| org.apache.hadoop.net.NetworkTopology.chooseRandom                                                           | compute-sync |
