|                                    dimensionalCodeFragment                                    |      pattern       |
+-----------------------------------------------------------------------------------------------+--------------------+
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.chooseStorageTypes                         | unbound-allocation |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convert                                      | unbound-allocation |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convertLocatedBlock                          | unbound-allocation |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convertStorageTypes                          | unbound-allocation |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.chooseSourceDatanodes              | unbound-allocation |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.computeReconstructionWorkForBlocks | unbound-allocation |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.getBlockPlacementStatus            | unbound-allocation |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault.chooseTarget        | unbound-allocation |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.getStaleReplicas  | unbound-allocation |
| org.apache.hadoop.hdfs.server.blockmanagement.HeartbeatManager.heartbeatCheck                 | unbound-allocation |
| org.apache.hadoop.hdfs.server.blockmanagement.LowRedundancyBlocks.chooseLowRedundancyBlocks   | unbound-allocation |
| org.apache.hadoop.hdfs.server.namenode.LeaseManager.checkLeases                               | unbound-allocation |
| org.apache.hadoop.hdfs.util.Diff.apply2Previous                                               | unbound-allocation |
