|                                                        fullyQualifiedName                                                         |      pattern       |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.chooseStorageTypes                                                             | unbound-collection |
| org.apache.hadoop.hdfs.protocol.BlockStoragePolicy.diff                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$StorageTypesProto$Builder.addAllStorageTypes                                     | unbound-collection |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convert                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convertLocatedBlock                                                              | unbound-collection |
| org.apache.hadoop.hdfs.protocolPB.PBHelperClient.convertStorageTypes                                                              | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager$StorageInfoDefragmenter.scanAndCompactStorages                         | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.addExpectedReplicasToPending                                           | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.checkRedundancy                                                        | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.chooseSourceDatanodes                                                  | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.computeReconstructionWorkForBlocks                                     | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.getBlockPlacementStatus                                                | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault.chooseRandom                                            | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault.chooseTarget                                            | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.appendUCPartsConcise                                  | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.getStaleReplicas                                      | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.fetchDatanodes                                                      | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.getDatanodeListForReport                                            | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.HeartbeatManager.heartbeatCheck                                                     | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.LowRedundancyBlocks.add                                                             | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.LowRedundancyBlocks.chooseLowRedundancyBlocks                                       | unbound-collection |
| org.apache.hadoop.hdfs.server.blockmanagement.PendingReconstructionBlocks$PendingReconstructionMonitor.pendingReconstructionCheck | unbound-collection |
| org.apache.hadoop.hdfs.server.namenode.LeaseManager.checkLeases                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffListingInfo.addDirDiff                                                | unbound-collection |
| org.apache.hadoop.hdfs.util.Diff.apply2Previous                                                                                   | unbound-collection |
| org.apache.hadoop.ipc.Server$ConnectionManager.register                                                                           | unbound-collection |
