|                                              dimensionalCodeFragment                                              |   pattern    |
+-------------------------------------------------------------------------------------------------------------------+--------------+
| org.apache.ignite.internal.cache.query.index.IndexProcessor.updateIndex                                           | compute-sync |
| org.apache.ignite.internal.cache.query.index.IndexProcessor.updateIndexes                                         | compute-sync |
| org.apache.ignite.internal.cache.query.index.sorted.inline.InlineIndexImpl.onUpdate                               | compute-sync |
| org.apache.ignite.internal.managers.communication.GridIoManager.invokeListener                                    | compute-sync |
| org.apache.ignite.internal.managers.communication.GridIoManager.onMessage0                                        | compute-sync |
| org.apache.ignite.internal.managers.communication.GridIoManager.processRegularMessage                             | compute-sync |
| org.apache.ignite.internal.managers.communication.GridIoManager.send                                              | compute-sync |
| org.apache.ignite.internal.managers.discovery.GridDiscoveryManager.resolveDiscoCache                              | compute-sync |
| org.apache.ignite.internal.managers.eventstorage.GridEventStorageManager.isRecordable                             | compute-sync |
| org.apache.ignite.internal.managers.eventstorage.GridEventStorageManager.isUserRecordable                         | compute-sync |
| org.apache.ignite.internal.managers.eventstorage.GridEventStorageManager.notifyListeners                          | compute-sync |
| org.apache.ignite.internal.managers.eventstorage.GridEventStorageManager.record0                                  | compute-sync |
| org.apache.ignite.internal.pagemem.PageIdUtils.link                                                               | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.getByte                                                              | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.getInt                                                               | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.getLong                                                              | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.getShort                                                             | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.putByte                                                              | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.putBytes                                                             | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.putInt                                                               | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.putLong                                                              | compute-sync |
| org.apache.ignite.internal.pagemem.PageUtils.putShort                                                             | compute-sync |
| org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.readLock                                            | compute-sync |
| org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.writeLock                                           | compute-sync |
| org.apache.ignite.internal.processors.affinity.GridAffinityAssignmentCache.awaitTopologyVersion                   | compute-sync |
| org.apache.ignite.internal.processors.affinity.GridAffinityAssignmentCache.cachedAffinity                         | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheConcurrentMapImpl.putEntryIfObsoleteOrAbsent                 | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheConcurrentMapImpl.removeEntry                                | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage                                      | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheIoManager.onMessage0                                         | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheIoManager.onMessageProcessed                                 | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheIoManager.send                                               | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheIoManager.unmarshall                                         | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.deletedUnlocked                                     | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.evictInternal                                       | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.innerSet                                            | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.markObsolete0                                       | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.ttlAndExpireTimeExtras                              | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.unswap                                              | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.update                                              | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMapEntry.updatePlatformCache                                 | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMvcc.isEmpty                                                 | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheMvccManager.addFuture                                        | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheProcessor.internalCache                                      | compute-sync |
| org.apache.ignite.internal.processors.cache.GridCacheTtlManager.expire                                            | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.GridDistributedCacheEntry.recheck                         | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.GridDistributedCacheEntry.removeLock                      | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheEntry.addDhtLocal                         | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtTxLocalAdapter.mapExplicitLocks                | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.dht.topology.GridDhtLocalPartition.decrementPublicSize    | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.dht.topology.GridDhtLocalPartition.nextUpdateCounter      | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.dht.topology.GridDhtLocalPartition.release0               | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.dht.topology.GridDhtPartitionTopologyImpl.localPartition0 | compute-sync |
| org.apache.ignite.internal.processors.cache.distributed.dht.topology.GridDhtPartitionTopologyImpl.nodes0          | compute-sync |
| org.apache.ignite.internal.processors.cache.persistence.freelist.PagesList.putDataPage                            | compute-sync |
| org.apache.ignite.internal.processors.cache.persistence.freelist.io.PagesListNodeIO.removePage                    | compute-sync |
| org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree.findInsertionPoint                         | compute-sync |
| org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree.fix                                        | compute-sync |
| org.apache.ignite.internal.processors.cache.persistence.tree.BPlusTree.treeMeta                                   | compute-sync |
| org.apache.ignite.internal.processors.cache.persistence.tree.io.PageIO.getBPlusIO                                 | compute-sync |
| org.apache.ignite.internal.processors.cache.persistence.tree.util.PageHandler.writePage                           | compute-sync |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxAdapter.topologyVersion                          | compute-sync |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxLocalAdapter.userCommit                          | compute-sync |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxManager.notifyEvictions                          | compute-sync |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxManager.txUnlock                                 | compute-sync |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxManager.unlockMultiple                           | compute-sync |
| org.apache.ignite.internal.processors.metric.impl.HistogramMetricImpl.value                                       | compute-sync |
| org.apache.ignite.internal.processors.metric.impl.MetricUtils.ensureAllNamesNotEmpty                              | compute-sync |
| org.apache.ignite.internal.processors.metric.impl.MetricUtils.metricName                                          | compute-sync |
| org.apache.ignite.internal.util.GridPartitionStateMap.state                                                       | compute-sync |
| org.apache.ignite.internal.util.GridSpinReadWriteLock.readUnlock                                                  | compute-sync |
| org.apache.ignite.internal.util.GridSpinReadWriteLock.tryReadLock                                                 | compute-sync |
| org.apache.ignite.internal.util.GridUnsafe.copyMemory                                                             | compute-sync |
| org.apache.ignite.internal.util.IgniteUtils.arrayList                                                             | compute-sync |
| org.apache.ignite.internal.util.IgniteUtils.containsObjectArray                                                   | compute-sync |
| org.apache.ignite.internal.util.IgniteUtils.getAnnotation                                                         | compute-sync |
| org.apache.ignite.internal.util.IgniteUtils.resolveClassLoader                                                    | compute-sync |
| org.apache.ignite.internal.util.IgniteUtils.sameMacs                                                              | compute-sync |
| org.apache.ignite.internal.util.IgniteUtils.spiAttribute                                                          | compute-sync |
| org.apache.ignite.internal.util.IgniteUtils.unmarshal                                                             | compute-sync |
| org.apache.ignite.internal.util.OffheapReadWriteLock.readLock                                                     | compute-sync |
| org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock                                                   | compute-sync |
| org.apache.ignite.internal.util.OffheapReadWriteLock.releaseWithTag                                               | compute-sync |
| org.apache.ignite.internal.util.OffheapReadWriteLock.updateState                                                  | compute-sync |
| org.apache.ignite.internal.util.OffheapReadWriteLock.writeLock                                                    | compute-sync |
| org.apache.ignite.internal.util.OffheapReadWriteLock.writeUnlock                                                  | compute-sync |
| org.apache.ignite.internal.util.future.GridCompoundFuture.hasPending                                              | compute-sync |
| org.apache.ignite.internal.util.future.GridFutureAdapter.onDone                                                   | compute-sync |
| org.apache.ignite.internal.util.lang.GridFunc.concat                                                              | compute-sync |
| org.apache.ignite.internal.util.lang.GridFunc.isAll                                                               | compute-sync |
| org.apache.ignite.internal.util.nio.GridNioRecoveryDescriptor.add                                                 | compute-sync |
