|                                            fullyQualifiedName                                             |      pattern       |
+-----------------------------------------------------------------------------------------------------------+--------------------+
| org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readCollection                   | unbound-collection |
| org.apache.ignite.internal.managers.communication.GridIoManager.onMessage0                                | unbound-collection |
| org.apache.ignite.internal.managers.discovery.GridDiscoveryManager$DiscoveryWorker.addEvent               | unbound-collection |
| org.apache.ignite.internal.managers.tracing.GridTracingManager.create                                     | unbound-collection |
| org.apache.ignite.internal.processors.cache.GridCacheIoManager.handleMessage                              | unbound-collection |
| org.apache.ignite.internal.processors.cache.GridCacheMvcc.add0                                            | unbound-collection |
| org.apache.ignite.internal.processors.cache.GridCacheMvcc.candidates                                      | unbound-collection |
| org.apache.ignite.internal.processors.cache.GridCacheMvcc.localOwners                                     | unbound-collection |
| org.apache.ignite.internal.processors.cache.GridCacheMvccManager.addFuture                                | unbound-collection |
| org.apache.ignite.internal.processors.cache.GridCacheMvccManager.addNext                                  | unbound-collection |
| org.apache.ignite.internal.processors.cache.distributed.GridDistributedCacheEntry.remoteMvccSnapshot      | unbound-collection |
| org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheEntry.checkReadersLocked          | unbound-collection |
| org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtTxPrepareFuture.checkNeedRebalanceKeys | unbound-collection |
| org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtTxPrepareFuture.forceRebalanceKeys     | unbound-collection |
| org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtTxPrepareFuture.onEntriesLocked        | unbound-collection |
| org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtTxPrepareFuture.readyLocks             | unbound-collection |
| org.apache.ignite.internal.processors.cache.distributed.dht.topology.GridDhtPartitionTopologyImpl.nodes0  | unbound-collection |
| org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log        | unbound-collection |
| org.apache.ignite.internal.processors.cache.persistence.freelist.PagesList.putDataPage                    | unbound-collection |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxManager$KeyCollisionsHolder.collectInfo  | unbound-collection |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxStateImpl.addActiveCache                 | unbound-collection |
| org.apache.ignite.internal.processors.cache.transactions.IgniteTxStateImpl.validateTopology               | unbound-collection |
| org.apache.ignite.internal.processors.query.GridQueryProcessor.store                                      | unbound-collection |
| org.apache.ignite.internal.processors.query.h2.opt.GridLuceneIndex.store                                  | unbound-collection |
| org.apache.ignite.internal.util.GridListSet.addx                                                          | unbound-collection |
| org.apache.ignite.internal.util.IgniteUtils.arrayList                                                     | unbound-collection |
| org.apache.ignite.internal.util.StripedExecutor$StripeConcurrentQueue.execute                             | unbound-collection |
| org.apache.ignite.internal.util.lang.GridFunc.concat                                                      | unbound-collection |
| org.apache.ignite.internal.util.nio.GridNioServer$DirectNioClientWorker.processRead                       | unbound-collection |
| org.apache.ignite.internal.util.nio.GridNioServer$DirectNioClientWorker.processWrite0                     | unbound-collection |
| org.apache.ignite.internal.util.nio.GridNioServer$DirectNioClientWorker.writeToBuffer                     | unbound-collection |
| org.apache.ignite.internal.util.nio.GridSelectorNioSessionImpl.pollFuture                                 | unbound-collection |
| org.apache.ignite.spi.discovery.tcp.ServerImpl$RingMessageWorker.checkFailedNodesList                     | unbound-collection |
| org.apache.ignite.spi.discovery.tcp.ServerImpl$RingMessageWorker.registerPendingMessage                   | unbound-collection |
| org.apache.ignite.spi.discovery.tcp.ServerImpl$RingMessageWorker.sendMessageAcrossRing                    | unbound-collection |
| org.apache.ignite.spi.discovery.tcp.ServerImpl$RingMessageWorker.sendMessageToClients                     | unbound-collection |
| org.apache.ignite.spi.discovery.tcp.ServerImpl.prepareNodeAddedMessage                                    | unbound-collection |
| org.apache.ignite.spi.discovery.tcp.TcpDiscoverySpi.getNodeAddresses                                      | unbound-collection |
| org.apache.ignite.spi.discovery.tcp.messages.TcpDiscoveryMetricsUpdateMessage$MetricsSet.readExternal     | unbound-collection |
